 Run 402502	 Raw lumi 10.8504	Cor lumi 6.19426	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402503	 Raw lumi 12.7698	Cor lumi 12.2375	 QEDC-corr stat-err 0.0708881	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402504	 Raw lumi 27.9598	Cor lumi 11.6266	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402510	 Raw lumi 7.72438	Cor lumi 5.88742	 QEDC-corr stat-err 0.121268	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402516	 Raw lumi 1.07156	Cor lumi 1.0269	 QEDC-corr stat-err 0.258199	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402518	 Raw lumi 10.5329	Cor lumi 10.0939	 QEDC-corr stat-err 0.0870388	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402519	 Raw lumi 16.6941	Cor lumi 14.3881	 QEDC-corr stat-err 0.0842152	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402520	 Raw lumi 16.7825	Cor lumi 11.1013	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402521	 Raw lumi 20.4658	Cor lumi 19.6127	 QEDC-corr stat-err 0.0567962	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402522	 Raw lumi 6.44744	Cor lumi 6.17868	 QEDC-corr stat-err 0.0995037	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402523	 Raw lumi 36.6599	Cor lumi 27.7701	 QEDC-corr stat-err 0.0492665	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402527	 Raw lumi 8.06401	Cor lumi 7.60778	 QEDC-corr stat-err 0.0932505	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402581	 Raw lumi 9.15668	Cor lumi 6.8032	 QEDC-corr stat-err 0.0980581	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402582	 Raw lumi 3.11043	Cor lumi 2.98598	 QEDC-corr stat-err 0.164399	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402589	 Raw lumi 31.6612	Cor lumi 27.7777	 QEDC-corr stat-err 0.0478365	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402592	 Raw lumi 19.3581	Cor lumi 18.5835	 QEDC-corr stat-err 0.0605228	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402595	 Raw lumi 6.09811	Cor lumi 3.83188	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402596	 Raw lumi 27.1493	Cor lumi 23.323	 QEDC-corr stat-err 0.0540738	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402602	 Raw lumi 26.7107	Cor lumi 19.9945	 QEDC-corr stat-err 0.0584206	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402604	 Raw lumi 70.1307	Cor lumi 32.1337	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402611	 Raw lumi 10.9101	Cor lumi 0.212196	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402613	 Raw lumi 6.06988	Cor lumi 5.82702	 QEDC-corr stat-err 0.101015	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402614	 Raw lumi 3.37898	Cor lumi 3.24378	 QEDC-corr stat-err 0.141421	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402615	 Raw lumi 41.9576	Cor lumi 38.1512	 QEDC-corr stat-err 0.0405887	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402617	 Raw lumi 44.7694	Cor lumi 42.0492	 QEDC-corr stat-err 0.039133	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402618	 Raw lumi 27.3508	Cor lumi 18.834	 QEDC-corr stat-err 0.0547997	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402624	 Raw lumi 2.70182	Cor lumi 1.18192	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402625	 Raw lumi 1.21373	Cor lumi 1.19136	 QEDC-corr stat-err 0.258199	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402626	 Raw lumi 31.8343	Cor lumi 17.6241	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402627	 Raw lumi 63.3995	Cor lumi 0.64927	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402993	 Raw lumi 13.788	Cor lumi 13.4972	 QEDC-corr stat-err 0.0727393	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402994	 Raw lumi 15.1583	Cor lumi 3.60458	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402996	 Raw lumi 65.2424	Cor lumi 52.1495	 QEDC-corr stat-err 0.0360375	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402998	 Raw lumi 51.5222	Cor lumi 41.6431	 QEDC-corr stat-err 0.0396838	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 402999	 Raw lumi 5.40909	Cor lumi 1.8375	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403002	 Raw lumi 33.3906	Cor lumi 26.857	 QEDC-corr stat-err 0.051031	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403014	 Raw lumi 3.01445	Cor lumi 2.95087	 QEDC-corr stat-err 0.142857	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403015	 Raw lumi 34.4943	Cor lumi 33.2225	 QEDC-corr stat-err 0.0452679	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403097	 Raw lumi 2.13774	Cor lumi 2.08678	 QEDC-corr stat-err 0.208514	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403098	 Raw lumi 16.5636	Cor lumi 16.1687	 QEDC-corr stat-err 0.0680414	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403099	 Raw lumi 79.8273	Cor lumi 20.5479	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403100	 Raw lumi 206.295	Cor lumi 5.5942	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403101	 Raw lumi 44.6214	Cor lumi 4.66413	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403102	 Raw lumi 19.8629	Cor lumi 2.33742	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403110	 Raw lumi 5.59062	Cor lumi 4.00506	 QEDC-corr stat-err 0.127	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403111	 Raw lumi 26.4672	Cor lumi 14.027	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403112	 Raw lumi 38.5933	Cor lumi 10.7664	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403114	 Raw lumi 28.472	Cor lumi 0.52613	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
