 Run 444591	 Raw lumi 14.8813	Cor lumi 14.6996	 QEDC-corr stat-err 0.0677285	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444592	 Raw lumi 1.02176	Cor lumi 1.00929	 QEDC-corr stat-err 0.288675	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444593	 Raw lumi 7.87538	Cor lumi 7.38764	 QEDC-corr stat-err 0.0880451	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444599	 Raw lumi 2.67984	Cor lumi 2.64713	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444601	 Raw lumi 12.0378	Cor lumi 11.5193	 QEDC-corr stat-err 2.21884	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444602	 Raw lumi 0.424346	Cor lumi 0.419167	 QEDC-corr stat-err 0.5	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444603	 Raw lumi 2.21397	Cor lumi 2.18694	 QEDC-corr stat-err 0.162221	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444604	 Raw lumi 8.19094	Cor lumi 8.09097	 QEDC-corr stat-err 0.102598	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444606	 Raw lumi 2.73439	Cor lumi 2.70102	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444607	 Raw lumi 2.21626	Cor lumi 1.85965	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444608	 Raw lumi 0.589938	Cor lumi 0.582738	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444611	 Raw lumi 0.748247	Cor lumi 0.739114	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444612	 Raw lumi 7.21282	Cor lumi 7.12479	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444613	 Raw lumi 0.883264	Cor lumi 0.872483	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444614	 Raw lumi 0.472281	Cor lumi 0.466517	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444615	 Raw lumi 0.442436	Cor lumi 0.437036	 QEDC-corr stat-err 0.316228	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444616	 Raw lumi 0.742716	Cor lumi 0.733651	 QEDC-corr stat-err 0.353553	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444618	 Raw lumi 1.76437	Cor lumi 1.74283	 QEDC-corr stat-err 0.213201	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444622	 Raw lumi 0.329278	Cor lumi 0.325259	 QEDC-corr stat-err 0.57735	 Av pol 0	 Pol err 0	 Pol run fraction 0
